Name,Rolle,Original_Rolle,ID,Titel,Art,Zielgruppe,Chronologische_Sortierung,Herkunftsland
Afsaneh Mahian,"Regie, Text & Dramaturgie","Text, Regie",A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Agus Margiyanti,"Beni Sanjaya, Hardiansyah Yoga, Muhammad Alhaq, Performance, Produktion & Management","Mit
Puppenspieler:innen:
Anton Fajri, Beni Sanjaya, Pambo Priyojati, Hardiansyah Yoga, Muhammad Alhaq, Agus Margiyanti
Tänzer:innen:",A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Ahmed El Attar,"Regie, Text & Dramaturgie","Regie, Text",A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Apetunpe (Rekpo,"Von, mit",Von und mit,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Benjamin Hotz,"Musik & Sound, Text & Dramaturgie, Video & Medien","Konzept, Kreation
Mia Rushton, Eric Muschopedis
Video",A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Bühne,"Regie, Text & Dramaturgie","Text, Regie",A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Bühne,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Camila Pérez,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Camilo Yáñez,Mit,Mit,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Choreografie,Regie,"Autor:in
Darsteller:innen
Regie",A_060,Amadoka,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,19,Czech Republic
Choreografie,Text & Dramaturgie,Autor:in,A_061,Split Tooth: Saputjiji,Musiktheater,Erwachsene & Junge Erwachsene,4,Kanada
Clement Baade,Performance,Darsteller:innen,A_025,When the World Turns,,,,Australien
Co - Regie,Performance,Darsteller:innen,A_025,When the World Turns,,,,Australien
